分類,項目,内容,参照,実装ブランチ,備考
対応済み,tree の展開を『カーソル行が展開されたか』で検査できない(chkexp がパネル全体の数),"browse-keys の chkexp:N は rbKeysT().expanded.size() を見る(core/main.cpp:34575)。つまりパネル全体で何個開いているかであって、カーソル行が開いたかではない。『この行のクリックで展開された』を書くにはパネルが全閉から始まる必要があるが、上のキーボード節が Right で1つ開いたまま残す。結果、726d738 で入れた『tree では名前クリックで展開』はテストで守られていない(ダブルクリックの移動側だけ assert してある)。要るのは rbHas(expanded, カーソル行のパス) を読むプローブ  ── chkrowexp で閉じた。BrowseInstance::cursorFull （カーソル行のフルパス）を保存し、chkrowexp:0|1 が rbHas(expanded, cursorFull) を直接読む。パネル内の他のフォルダが開いていても「この行がトグルした」を書ける。tree 節は名前クリックとシェブロンを交互に打つ — 同じピクセルへの2連打はImGui の二重クリック窓内では「1つのジェスチャの2打目」になるため。  ── 6a5ec9b で chkrowexp:0|1 を追加。BrowseInstance::cursorFull を持ち、rbHas(expanded, cursorFull) を直接読むので、他のフォルダが開いていても『この行が展開された』が assert できる。併せて imgmark/chkimgmark(『このジェスチャは何も開いていない』)も入った —— 今回のバグを捕まえるのはまさにこの検査","core/main.cpp:34575 chkexp, 23159 付近の動作列",6a5ec9b (main),726d738 で明示的に『assert していない』と書いて残した部分。papering over ではなく穴の記録  /  プローブが存在しなかったので穴として残してあった行。2ec8dfd でプローブを入れて閉じた
残課題,フォルダのクリック挙動を Preferences で選べるようにする,2026-08-04 のユーザ判断:「List 表示のときはシングルクリックしかなくて、ダブルクリックが存在しないんだと思う。ここは preference で指定できるようにしてもいいね、preference が実装されたときに」。現状は List=1クリックで入る / Tree=名前で展開・ダブルで移動、で固定。Preferences パネル自体が未実装(別行)なので、それが入ってから,"core/main.cpp rbActivateRow 付近, 板の『設定を変える場所が無い』行",,【2026-08-04 指示】preference 実装後に対応
対応済み,list の1クリック確定を戻した — browse-keys の Linux 限定失敗はキーの配送先ではなかった,26e3715 は「キーの ROUTING が変わっているが機構が不明」として list の1クリックを差し戻した。機構はキーと無関係だった。失敗ログの FAIL の2行上に答えがある: 「185 dbl ... imgs=44 / 186 waitdir:10lx ... imgs=52」— 10lx の中身はちょうど 8 コマ。つまりフォルダに向けたダブルクリックがそのフォルダの中身を開いていた。1打目の release で rbGoTo が走り、非同期の一覧が 2打目の press より先に着くと（ubuntu のローカル一覧は選択テストのフレーム予算 ~8ms に入る。Windows では入らない — これが「Linux でだけ落ちる」の正体）、2打目は入れ替わった一覧の行1 — frame_000..007 グループ — に落ち、rbOpenRow が 8 枚開き、その release が rbCursor を 1 に書いた（chkcursor:-1 の FAIL）。過去3回の修正が全部外した理由もこれで説明できる: 3つとも「移動した行」を守っていたが、止めるべき書き込みは「別の一覧に対する正当なクリック」だった。規則: 確定して一覧が入れ替わるならその打鍵連の残りはナビゲーションのもの（BrowseInstance::navChain / rbNavGesture、連の同一性は ImGui の MouseClickedLastCount）。`..` はどの一覧でも行0 なので掛けない。これはテストのあやではなく実害 — 習慣でフォルダをダブルクリックすると頼んでいない stack が開く。,"docs/browse-topbar-design.md 10.4.1, core/main.cpp rbNavGesture / navChain, browse-keys の list・tree・instance の各節",branch browse-oneclick @ 2ec8dfd,選択テストは新契約を語る形にした: list のフォルダをダブルクリックしても1回しか入らず、何も開かないことを imgmark/chkimgmark で assert（open は非同期なので 2 回）。tree のダブルクリックと instance 節の反例が出た場所にも同じ assert を置いた
対応済み,失敗した selftest の assert が残らない —— 捕獲の仕組みを直した,2026-08-04、PR 審査中に selftest.browse(browse-keys ではない)が1回落ち、その後クリーンな main と修正版の両方で 20/20 通過。落ちた assert が何だったかは不明 —— ログが上書きされた。browse-keys / series に続く3本目で、しかも再び出力を失っている。『次に落ちたら出力を捕まえる』が3回とも守れていないので、run_selftests.sh が失敗ログを一意な名前で残す仕組み自体を見直す方が早いかもしれない2026-08-04、PR 審査中に selftest.browse(browse-keys ではない)が1回落ち、その後クリーンな main と修正版の両方で 20/20 通過。落ちた assert が何だったかは不明 —— ログが上書きされた。browse-keys / series に続く3本目で、しかも再び出力を失っている。『次に落ちたら出力を捕まえる』が3回とも守れていないので、run_selftests.sh が失敗ログを一意な名前で残す仕組み自体を見直す方が早いかもしれない  ── 2adbe85(PR #72)で捕獲の仕組みを修正。原因は複数: (a) 保存はされていたが26テスト分193kB の丸ごとで、落ちた1本は分単位の名前でしか特定できず中ほどに360行 —— 読むのが発掘作業なので皆ターミナルを読み、それだけが残らない (b) ctest -R で再現を試すのが調査の第一手だが、それが LastTest.log を上書きして何も残さない (c) 決定打は CI —— Selftests はゲートなのでそこでジョブが止まり、何もアップロードしていなかった。CI の失敗は構造的に回収不能だった。直し: テストごとに切り出し、落ちた assert を先頭に、commit とホストを頭に。CI に if: failure() のアップロード。置き場所は docs/diagnostics/auto/(gitignore)。副産物の発見: ctest は起動できなかったテストを LastTest.log に Test Passed. と書く(コンソールには (Not Run) と出すのに)。そして仕組み自体が PR マージ前に本物の flake を捕まえた —— 誰も見たことのない signature で docs/diagnostics/browse-keys-cursor-20260805.txt に残っている,"tools/run_selftests.sh の failed-*.log, docs/diagnostics/",2adbe85 (main),browse-keys は4回目でようやく捕まえられた。同じ待ち方をしない方がよい  /  【検証 2026-08-04】有力な原因が判明 —— selftest.series と同じ形。core/main.cpp:25400 の %TEMP%/viewer_hlenbomb を固定名で remove_all + create_directories しており、2プロセスが互いのフィクスチャを消し合う。6308888 でテストごとに TMP/TEMP を分けたので、これで直っている可能性が高い —— ただし series と違って再現も検証もしていないので、直ったとは書かない。次に落ちたら、今度こそ失敗ログが残る
対応済み,コンパイラ警告 — 全プラットフォームでゼロに(件数は「5」ではなかった),-Wformat-security が core/main.cpp:15761、-Wformat-truncation が 13358 に4件ほか、計7件。88ea4a6 の時点で既に同一なので今日の変更が入れたものではない。ただしこのセッションで繰り返し言っていた『警告0』は MinGW ローカルの数字であって、Linux gcc は一度も0になっていない。ゲートの基準として食い違っているので、直すか、Linux の既知警告として明示的に許容するかを決める必要がある  /  【実測 2026-08-04 branch compare-n】件数は5、種類は2つ。ubuntu-latest のジョブログ全体を数えた結果は -Wformat-truncation= が4件(すべて同一行の同一 snprintf)と -Wformat-security が1件で、合計5。この行が言う「ほか」に当たるものは無い —— ログ中の [-W...] は上記5件で全部で、残りの warning 文字列は git のヒント、node の DeprecationWarning、Actions の Node.js 20 通知でコンパイラのものではない。行番号は変更のたびに動くので(このブランチでは 13444 と 16049)、照合は行ではなく「種類と件数」で行うべき。Windows(MSVC)と macOS のジョブは3回とも警告なしで success,"core/main.cpp:15761, 13358, .github/workflows/build.yml",,PR #39/#8 の審査中に発覚。-Werror が無いので CI は緑のまま通る  /  【実装 2026-08-10 PR #140 7b59525】実測すると板の「5」は両方向に誤り: Linux(GCC)2、macOS(AppleClang)12、Windows(MSVC)26、MinGW ローカル 0(=「警告0」の出所、ただし第三者由来が17)。clang-on-Linux が macOS と完全一致(12=12)したので CI 往復せずローカルで検証できた。うち2件は本物の欠陥: (1) panel_series_analysis.inc:216 が ImGui::TextDisabled(row->err.c_str()) で実行時メッセージを printf 書式として渡していた —— 今届く文字列が % を含まないので潜在的だが、パーセントを名乗る拒否文や % を含むファイル名を引用した瞬間に渡していない引数を読む。fail-first は %% を仕込んで UB を継承せずバグだけを測る (2) PR #133 のスタックゲートが macOS で一度も武装していなかった —— clang は綴りが違うため未知オプション警告を出すだけで、緑のまま何も測っていなかった(板の行そのものと同じクラス)。-Werror=unknown-warning-option を隣に置き次に綴れないガードが来たらビルドが落ちる形に。ガードは narrow な -Werror=format -Werror=format-security を全ターゲットに採用し、全面 -Werror は採らない(runner が -latest のローリングなので新 GCC の -Wall 追加が無関係なブランチを赤くする / CI だけ -Werror は「CI と開発者が同じコマンドを走らせる」方針に反する)。トレードオフは PR に明記
対応済み,【重複行・退役】List でファイルのダブルクリックが開かない — 次行(機序特定・修正済)と同一件,"2026-08-04 実機報告:「Filebrowse で，ダブルクリックで Open が消えている」「List 表示のときにダブルクリックを完全に殺してしまってる」。設計上ファイルのダブルクリックは残す側で、core/main.cpp の二重クリック処理はファイル行を通すので、コード上は素通りするはず。掛け金(navChain / rbNavGesture, 19492-19499)が疑わしいが未特定。修正を2回外している: (1) cb371c1 で掛け金を r.isDir() に限定 → CI が ubuntu で6件落として revert(3256a42)。抑えるべき2打目は移動後の一覧の『ファイル』行に着地するので、行の種類で判定するのは対象を間違えている (2) それ以前のカーソル書き込みの抑制3回も、狙った症状を1つも動かさなかった。browse-keys は 282 アクションでファイルのダブルクリックを実際にやっており(dbl,waitimg:28,chkopen:2)、通る —— つまりスイートはジェスチャを試しているが、ジェスチャの履歴を試していない。掛け金が守っている欠陥は実在して CI 実証済み(外すと chkimgmark が『opened 4 document(s)』で落ちる)ので、外して済ませることはできない","core/main.cpp:881 navChain, 19492-19499, 20639/20646/20730/20747, 20711/20737",branch dblclick-probe(調査中),【2026-08-09 棚卸し】この行は次行と同一の件で、次行が機序特定(navChain は無実、真因は openRemote が UI スレッドを止めてクリック1が自分の二重クリック窓を使い切ること)と修正・selftest.browse-dbl の追加まで済ませている(CMakeLists.txt:678 に実在)。更新が片方だけに書かれ、古い方が残っていた。
対応済み,List でファイルのダブルクリックが開かない — 機序は掛け金ではなく「クリック1が自分の二重クリック窓を使い切る」,"2026-08-04 実機報告:「Filebrowse で，ダブルクリックで Open が消えている」「List 表示のときにダブルクリックを完全に殺してしまってる」。設計上ファイルのダブルクリックは残す側で、core/main.cpp の二重クリック処理はファイル行を通すので、コード上は素通りするはず。掛け金(navChain / rbNavGesture, 19492-19499)が疑わしいが未特定。修正を2回外している: (1) cb371c1 で掛け金を r.isDir() に限定 → CI が ubuntu で6件落として revert(3256a42)。抑えるべき2打目は移動後の一覧の『ファイル』行に着地するので、行の種類で判定するのは対象を間違えている (2) それ以前のカーソル書き込みの抑制3回も、狙った症状を1つも動かさなかった。browse-keys は 282 アクションでファイルのダブルクリックを実際にやっており(dbl,waitimg:28,chkopen:2)、通る —— つまりスイートはジェスチャを試しているが、ジェスチャの履歴を試していない。掛け金が守っている欠陥は実在して CI 実証済み(外すと chkimgmark が『opened 4 document(s)』で落ちる)ので、外して済ませることはできない  ── 機序特定・修正。掛け金(navChain)は無実だった。probe を入れて実測したところ、ファイル行の二重クリックの全フレームで navChain=0、rbNavGesture=0 のまま。真因は openRemote が UI スレッドを止めることにある: rbActivateRow はクリック1のリリースで openRemote(preview) を呼び、その中の ensureUiSession / meta / tile は同期の往復で「この session が読んでいる間ウィンドウは再描画しない」(ensureUiSession のコメント自身がそう書いている)。ImGui は press と press の間隔を g.Time で測り、g.Time はフレームの実所要時間だけ進む(UpdateMouseInputs の is_repeated_click は g.Time - MouseClickedTime < MouseDoubleClickTime、既定 0.30 s)。つまりクリック1のフェッチが 0.30 s を超えると、クリック2は「1打目」として届き IsMouseDoubleClicked が偽になり、rbOpenRow が走らない。画面に残るのはクリック1が作った preview —— ユーザの第2報「一回目はダブルクリック判定されずに preview で表示されてしまう」と一字一句同じ。実測(peer が meta/tile を 400 ms 遅らせる版): press1 t=0.794 / press2 が見えたのが t=1.740 / MouseClickedCount=1 / 結果 dark.npy[pv]。遅延0の同じジェスチャは count=2 で開く。スイートが 282 アクションで素通りした理由も同じ実測で出た: 台本の click 系は必ずカーソル行を狙い、カーソルはキーボードが置いたもので、キーボードは file 行に来た時点ですでに preview を作っている。だから台本の「クリック1」は preview が生きていてフェッチ0秒 —— 人間の最初の接触はマウスで、そこが全額を払う。直し: UI スレッドが「止まっていた」時間を全ボタンのクリック時計に返す(UiThreadStall、openRemote 全体)。MouseClickedPos は触らないので「動いたクリックは別ジェスチャ」はそのまま。離れた2クリックを二重クリックに仕立てることはできない(返した後は時計が普通に進む)。フォルダの掛け金には一切触れていない — rbGoTo はワーカ行きで UI を止めないので credit は0、chkimgmark はそのまま緑","core/main.cpp UiThreadStall / openRemote, ensureUiSession(10218), rbActivateRow(19845 の openRemote), imgui.cpp UpdateMouseInputs(10148-10161), CMakeLists.txt selftest.browse-dbl, core/serve.cpp VIEWER_SERVE_LAG_MS",branch dblclick-probe,実機だけが見つけ、スイートが素通りする形が今日3回目。『前に別の操作を挟んだジェスチャ』を撃つ probe が要る、というのが共通の教訓  /  スイートの穴を塞ぐ側も入れた: selftest.browse-dbl は VIEWER_SERVE_LAG_MS=400 の遅い peer に対して走り、(1) キーボードが触っていない行へのマウス発の二重クリックがファイルを開くこと (2) 1秒あけた2クリックは開かないこと (3) フォルダの二重クリックは1回だけ入って何も開かないこと、の3つを assert する。修正を外すと (1)(2) が落ち (3) は緑のまま —— 掛け金と独立であることの証拠。併せて --browse-keys の台本を上書きしたとき blur / popupcheck を含まない列が「走らせていない検査」で必ず落ちていたのを直した(走らせた列だけが判定される)
対応済み,tree のダブルクリックで移動の前に展開が見える — 現状で良しと裁定,"2026-08-04 実機報告:「tree表示のときに，ダブルクリックで一回シングルクリックの動作が挟まる現象が再発しました」。tree ではフォルダに動詞が2つある(名前クリック=その場で展開 / ダブルクリック=そこへ移動)ので、ダブルクリックの1打目のリリースで展開が走り、2打目のプレスで移動が走る —— 順序は構造上必ずこうなる。ce02f12 が潰したのは「展開して2打目で取り消す」形(描いてから引っ込める)で、今回は展開が残るので別物。ただし「end state が正しい」と「途中が見えない」は別の主張で、ユーザが言っているのは後者。【実測】exparm の毎フレーム監視に時刻を足して測った(browse-keys, digitset を tree でダブルクリック): 展開が描かれた時刻と新しい一覧が着いた時刻の差は、リンク遅延0で 3フレーム / 47 ms、往復60msで 11フレーム / 172 ms、往復200msで 27フレーム / 421 ms。つまり「1〜2フレームのちらつき」ではなく、リンクが遅いほど長く読める状態になる (≒ 47ms + 2×RTT。移動側は LIST と SCAN の2往復かかるが、展開フラグは即座に立つため)。【前提の確認】ユーザ仮説「シングルクリックが Click On ベースだから」は成り立たない。行は ImGui::Selectable(flags=SpanAllColumns のみ)で、SelectOnClick も AllowDoubleClick も立てていないので ButtonBehavior の既定 PressedOnClickRelease、つまり展開はすでに「リリース」で走っている(imgui_widgets.cpp の Selectable, imgui_internal.h:949 PressedOnDefault_)。tree のシェブロンだけが press 側(IsMouseClicked)で、これは意図的。したがって press/release の違いは原因ではない —— release1 は press2 より必ず先に来る。【遅延させる案の実額】ImGui の連打判定は press-to-press を io.MouseDoubleClickTime(既定 0.30 s、このコードベースは上書きしていない)で測るので、リリース起点で待つ場合の残り待ち時間は 0.30 s −(押してから離すまでの時間)。この「押してから離すまで」は人の手の数字で、台本のクリックは構造上1フレーム(約16ms)なので選択テストからは出せない —— 実機で測るしかない。仮に80msのタップなら残り220ms、150msなら150ms。【禁じ手かどうか】このコードベースが禁じているのは「楽観的に描いてから取り消す」で(「a flash the eye sees is a flash however it ends」, chevron の「nothing here is ever optimistic」)、何も描かずに遅らせるのは字義上は当たらない。ただし同じ場所が「the anti-flash guarantee is structural」と書いており、タイマーによる保証は構造による保証ではない。既存の検査(exparm/chkexpn:0)は「0フレームも展開されていない」を見るので、遅延案でもそのまま緑になる。【選択肢】(1) 現状のまま(展開は本人が頼んだ状態で、残る) (2) リリースから残り時間だけ展開を遅らせる(途中状態は消えるが、素のシングルクリックがその分遅れる) (3) tree の動詞を1つに減らす(名前クリックをやめてシェブロン専用に戻す / ダブルクリックの移動をやめる)。方針はユーザ判断","core/main.cpp の tree 行クリック(rbTreeExpand)とダブルクリック(rbOpenRow)、imgui_widgets.cpp Selectable / imgui_internal.h:949, browse-keys の exparm / chkexpn",,【2026-08-04 指示】「たぶんね，シングルクリックが Click On をベースにしているからだね．ClickOff で，2にすれば実際問題の鈍く感じる感覚はないと思うよ」。前提(press ベース)は実測で否定されたが、結論(リリース起点で遅らせる)は残る。決めるのに要る最後の数字は「人のタップの長さ」で、これは実機でしか取れない  /  【裁定 2026-08-09】「見えるんだけどまあ良しとしてよいかなと」= 現状のまま受け入れ、変更しない。実測値は将来のために残す: 展開が描かれてから新しい一覧が着くまで、リンク遅延0で 47ms / 往復60msで 172ms / 往復200msで 421ms(≒ 47ms + 2×RTT)。リモートで気になった場合はこの数字が出発点
残課題【Fable】,ヒストグラムで値域をドラッグ選択して、該当画素を画像上でハイライトする,2026-08-04 発案。裾に居る画素がどこかを見る動きで、白傷・飽和・段差を探すときに効く。実現性は下見済み: 入れる場所は renderDocRGBA (core/main.cpp:2267) の1箇所で、そこは画素が RGBA になる唯一の場所かつエクスポートと共有されている(『報告書に貼った絵が画面と違うのは、絵が無いより悪い』)ので、画面と書き出しが自動的に一致する。値域は生の値なので表示レンジやガンマを動かしてもハイライトは動かない —— 選んだのは『この値の画素』であって『この明るさに見える画素』ではないから。決めることが4つ: (1) CFA でどの面か (2) compare-n でどのスロットか (3) 色 —— ui_theme はアクセントを『何が選択されているか』に予約しているのでここは規約に合うが、画像の上に乗るので暗部でも明部でも読める必要がある (4) 選択中であることの表示と解除 —— 下端ステータス行に『N 画素 (x.x%) を選択中』。順番の所感: 4 を先に決めると、画素数を数えるために面とスロットを1つに絞る必要が出て 1 と 2 が従属的に決まる。規模は中(半日〜1日)。隣接: display_falsecolor(値を色に写す既存の道)、ROIs(どこを測ったか / これはどの値を選んだか、で直交)、flat-field-stats.md(欠陥画素の議論と地続き),"core/main.cpp:2267 renderDocRGBA, core/ui_theme.cpp, plugins/display_falsecolor.c",https://github.com/klimemam/viewer/issues/68,【2026-08-04】「Fable に任せよう」
対応済み,PRNU と名乗る数が2つあり、同じ ROI でも一致しない,db2134c で ROIs に PRNU [σ %] が入ったが、plugin uniformity/prnu-fpn の X.prnu_pct とは別の数。分子が違う —— ROIs は ROI の σ そのまま、plugin は 9x9 ボックスのローパスを引いた残差の σ。つまり ROIs 側はシェーディング・絵柄・時間ノイズを含み、plugin 側はシェーディングを除く。標本も違う(間引き約20万 対 全画素)。シェーディングのあるフラットで前者が数%、後者が1%未満、は普通に起こる。どちらも間違っていない —— 測っているものが違う。今は docs/manual.md と docs/analyzers.md が相互に注記しているので読めば分かるが、数字だけが報告書に載ると区別が付かない。案: (1) このまま注記だけ (2) どちらかを改名(ただしユーザーは PRNU の名前を選んでいる) (3) Frame を超えた層で本物の PRNU を定義したときに両方をそこへ寄せる。3 が本命  ── 5d8cb72 で std / mean [%] に改名して解消。#66 閉,"core/main.cpp ROIs table, plugins/analyzer_prnu.c, docs/manual.md, docs/analyzers.md",5d8cb72 (main),PR #65 のレビューで判明。統一しろとは言われていないので統一していないが、黙って2つあるのは避けた
対応済み,ROIs の表だけコピー経路が無い(画面で読めて報告書に持っていけない),db2134c で PRNU を足したときに判明。drawPanelRois にコピーボタンも右クリックメニューも無い。Analysis のグリッド・Projection の profile statistics・Temporal はいずれも持っている。しかも ROIs は『どこを測ったか』を持つ唯一の表(ROI の矩形そのもの)なので、単純にコピーを足すより設計の余地がある: ROI の位置と大きさをどう出すか(画素座標 / 正規化 / 両方)、複数 ROI の行順(画面の並び順 / 置いた順)、docs/export-design.md が Temporal で決めた『# 見出し付きのセクション矩形』に合わせるか。export-design.md が既に形式を決めているので従うのが素直で、その文書は issue #61 で追認待ちなので、#61 が片付いてからの方が齟齬が出ない,"core/main.cpp drawPanelRois, docs/export-design.md",roi-export,"PR #65 のレビューで判明  /  【2026-08-10 着手】#61 の中心決定(1つの矩形に畳まず # 見出しのセクションを積む、各セクションはそれ自体が完全な矩形)がユーザ追認で確定したので解除。ROIs は他の表と1点だけ違い、「どこを測ったか」(矩形そのもの)を値として持つ唯一の表 —— 画面には ROI の名前しか出ないので、貼った先で x/y/w/h が失われる。座標系の規約を実装から確認して見出しと docs に明記すること(左上/中心・端点の含む含まないを推測で決めない)  /  【実装 2026-08-10 PR #151】座標規約を推測せず実装3箇所の照合で確定: 左上原点0始まり、x右・y下、w/h は画素数で半開区間 [x,x+w)×[y,y+h)。根拠は roiBasicStatsUncached の読み方(ax=rx+x, x<rw)/ roiSideCovers の判定(a.x+a.w<=d.w = 右端排他)/ tileMap の向き(iy を +zoom で下向き)。export-design.md §10.2 + 出力先頭の # ブロック(x..x+w-1 と [x,x+w) の両綴り)+ ARCHITECTURE.md に明記。セクションは2つ(ROI statistics / POI values)—— ROI 行は母集団、POI 行は値なので1矩形に畳むと pin の行に空欄が5列並ぶ(#61 が確認した決定そのもの)。x/y/w/h をヘッダでなく行の値にしたのは All (whole image) 行の領域が side ごとに違うため(A 64x48 / C 32x24)。収まらない side は数値全部 - + note 列に理由(クランプした交差部分のもっともらしい数を出さない)。赤は2段階で、2段目は assert が実装を捕まえた —— 文書に書いた §10 の § が非 ASCII で export-design §3 の禁止に触れた。赤40FAIL/4PASS → 緑45PASS、スイート 45→46本"
対応済み,V19(ROI 統計・PRNU 含む)が3ランナー中1つでしか走らない,V19 は selftest.verify の中にあり、これは GL コンテキストを要求するので Windows と macOS の CI ではスキップされる5本の1つ。つまり db2134c で足した PRNU の assert(mono / 間引きされた All 行 / CFA 面別 / pooled が面別平均の100倍以上 / n=1 / mean=0 の withhold)は Linux の CI とローカル MinGW でしか実行されていない。今朝の test_prnu のラベル取りこぼし(Linux で走っていなかった)と同じ系統で、どちらも『走っているつもりのテストが走っていない』。selftest.verify が GL を要求するのは ROI の行を実際の ImGui フレームでレイアウトして読むからで、これ自体は正当。ただし PRNU の計算部分は GL と無関係なので、そこだけ NOGL 側に出せる可能性があるV19 は selftest.verify の中にあり、これは GL コンテキストを要求するので Windows と macOS の CI ではスキップされる5本の1つ。つまり db2134c で足した PRNU の assert(mono / 間引きされた All 行 / CFA 面別 / pooled が面別平均の100倍以上 / n=1 / mean=0 の withhold)は Linux の CI とローカル MinGW でしか実行されていない。今朝の test_prnu のラベル取りこぼし(Linux で走っていなかった)と同じ系統で、どちらも『走っているつもりのテストが走っていない』。selftest.verify が GL を要求するのは ROI の行を実際の ImGui フレームでレイアウトして読むからで、これ自体は正当。ただし PRNU の計算部分は GL と無関係なので、そこだけ NOGL 側に出せる可能性がある  ── 2adbe85。V19 の数値部分を --roistats-selftest(NOGL)へ移した。再実装ではなく drawPanelRois() をそのまま呼ぶ —— 同じキャッシュ、同じ clipper、同じ PRNU セル、同じ g_roiRowProbe。CMakeLists の NOGL ブロックが要求する水準で測定済み(--no-window の有無で stdout/stderr がバイト一致)。assert 32本すべて健在、緩めたものは無い。実測: Linux 26→27、Windows 20→21、macOS 20→21。なお skip される数は5ではなく6だった(browse-dbl もウィンドウが要る),"CMakeLists.txt selftest.verify, core/main.cpp V19 / RoiRowProbe",2adbe85 (main),PR #65 の報告で判明。テストの実行範囲の話なので、走らせ方を直すのが本筋
対応済み,"(H,W,1) と (H,W,2) の解釈がローカルと peer で違う —— <=4 に統一","**決定 (2026-08-05): 最後の軸が 4 以下なら channel。**(H,W,1) はモノクロ1枚、(H,W,2) は 2ch の1枚。core/main.cpp:4021 の == 3 || == 4 を <= 4 に変更し、core/serve.cpp(既に <= 4)に合わせた。根拠: docs/terminology.md が上位の正典として 『stack は時間軸を持ち frame は持たない』『実装がこの表と違っていたらバグ』と宣言しており、(H,W,1) を H 枚の stack にすると存在しない時間軸を捏造して σ_t を報告する(実測 5.0 DN のフレームが 36.2 DN と出る)。文書で規則を表として述べている箇所は全部「4 以下」で、3|4 は拒否メッセージ1文の写しだった。下流の ch 天井は全部 1..4。同じ間違いをしていた tools/import/run_adapter.py:337 も修正。メッセージ文字列は NPY_NATIVE_FORMS 一箇所に集約し、--help は %s で参照(コピーが既に drift していたため)。ASCII の C<=4 表記 —— cp932 の console と run_adapter.py の stderr pipe が U+2264 を通せないため。検査: --remote-selftest を該当形に向けた(向ける先が無かっただけで、元からこの食い違いを検出できる harness だった) —— 変更前は exit 1 / rect 1x80 -> 1x64 FAIL (63 mismatches)、変更後 exit 0。さらに最後の軸を 1..5 と天井をまたいで掃く『channel rule, both doors』を追加。V22 に (H,W,1)/(H,W,2) を追加し、2ch が C0/C1 表示経路に到達することも assert。run_adapter.py 側も同じ掃引を追加し、mutation test 4種で全部落ちることを確認  ── dd491d5(PR #74)。core/main.cpp:4079 の1行(== 3 || == 4 → <= 4)だけだった。memo が挙げた5つの『チャンネル上限』は全部同じ 1..4 の規則を別々に綴ったもので、入口の判定だけがコードベース唯一の {3,4} だった —— 5箇所直すより良い結果で、確かめないと分からない種類のこと。serve.cpp は元から正しいので無変更。--remote-selftest を向けたら修正前は両形状で exit 1(hw1: rect 1x80 -> 1x64 : FAIL 63 mismatches ×4、hw2: MEASURE cfa の shape mismatch も)、修正後は exit 0。そこに『両方の扉』の掃引を追加 —— 最後の軸を 1→5 と上限をまたいで歩く。境界の位置が食い違う欠陥は 3 と 4 では一致するので、3 と 4 しか見ないテストでは永久に見えない。フィクスチャはテスト内で書くので3ランナー全部で走る(V22 は GL が要るので Linux のみ)。C0/C1 の経路は仮定せず検証した結果、関数ローカル static でローカル .npy から到達不能だった —— channelLabels(int) に持ち上げて、テストが Inspector と同じ関数に聞くようにした。printUsage() が forms 文字列の独自コピーを持っていて既にずれていたのも発見、定数から %s で出すようにして再発しないようにした","docs/input-adapters.md §3.1/§3.2/§4.13.0/§8-2, docs/terminology.md, core/main.cpp:4021, core/serve.cpp, tools/import/run_adapter.py:337",dd491d5 (main),同じ監査で: §4.11 が今も npz を運び屋として記述(実際は --stream/.vstream で、枠付きストリームの形式を書いた文書がどこにも無い)、readerCommandLine() が実行されないコマンドを表示する(-o <cache>.npz と出るが実際は --stream、§4.13 違反)
対応済み,tools/import/test_adapters.py が CI で一度も走っていなかった,PR #70 の作業中に発覚。36ケースあるのに呼び出し元が無く、build.yml は run_selftests.sh とbench しか走らせていなかった。つまり『ユーザーのリーダが何を返してよいか』の唯一の検査 ——docs/input-adapters.md 4節に対して1ケースずつ書かれ、今月テストPR5本がマージされた先 —— が一度もマージを止めていなかった。全部壊す変更も緑で入っていた。b4f66c0 で3OS すべてに追加(harness は子プロセスを起こしてファイルを往復するので、まさにプラットフォームで差が出る所)。numpy は gen_testdata.py 用に既に入っている。今週4件目の『走っているつもりのテストが走っていない』(test_prnu のラベル / abstats の引数順 / V19 が3分の1 / これ),".github/workflows/build.yml, tools/import/test_adapters.py",b4f66c0 (main),このプロジェクトのテストは良いが、どれが実行されているかの把握が良くない、という形
対応済み,CONFLICTING な PR には CI が一切走らない(赤い X すら出ない),2adbe85 の作業中に発覚。main が動いて PR が CONFLICTING になると、GitHub は refs/pull/N/merge を作れないのでワークフローが起動すらしない —— run が無い、赤い X も無い、気づく手がかりが何も無い。失敗より悪い、失敗は見えるので。こちらも『まだキューに居るのだろう』と読んでいた。対策の候補: PR の mergeable 状態を定期的に見る、あるいはブランチへの push でも走らせる(今は main / PR / workflow_dispatch のみ)  ── f94ed69。push を全ブランチ('**')に広げた。push の run はブランチをそのままビルドするので、衝突では止まらない —— main への統合が解決不能な状態でも、ブランチは自分の判定を持つ。pull_request のトリガは残す(冗長ではない: 単独で緑なブランチが main を壊すことはあり、統合結果を試すのが元々その役目)。変わったのは2つの問いが別々に立つようになったことで、片方がもう片方を黙って飲み込まなくなった。副産物: ブランチごとの binaries publish(1017486)が手動 dispatch 無しで走る ——git しか無い環境がビルドを受け取る経路がこれ,.github/workflows/build.yml の on: ブロック,f94ed69 (main),今週の『走っているつもりのものが走っていない』の5件目。前4件はテスト、これは CI そのもの
